id,song_id,alias,language,alias_type,normalized_alias,chosung_alias,source_url,source_name,verified_by,verification_note
alias_song_ja_0008_006,song_ja_0008,Orangestar,und,artist,orangestar,,https://en.wikipedia.org/wiki/Orangestar,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0008_007,song_ja_0008,IA,und,artist,ia,,https://en.wikipedia.org/wiki/Orangestar,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0009_001,song_ja_0009,"시간의 비, 최종 전쟁",ko,display_title,"시간의비,최종전쟁",ㅅㄱㅇㅂㅊㅈㅈㅈ,,user_input,manjak,Staging metadata source; exact song source and release date need review before production use
alias_song_ja_0009_002,song_ja_0009,時ノ雨、最終戦争,ja,canonical_title,時ノ雨、最終戦争,,https://en.wikipedia.org/wiki/Orangestar,Wikipedia,manjak,Staging metadata source; exact song source and release date need review before production use
alias_song_ja_0009_003,song_ja_0009,Toki no Ame Saishuu Sensou,ro,romanized_title,tokinoamesaishuusensou,,https://en.wikipedia.org/wiki/Orangestar,Wikipedia,manjak,Staging metadata source; exact song source and release date need review before production use
alias_song_ja_0009_004,song_ja_0009,오렌지스타,ko,artist,오렌지스타,ㅇㄹㅈㅅㅌ,,user_input,manjak,Staging metadata source; exact song source and release date need review before production use
alias_song_ja_0009_005,song_ja_0009,Orangestar,und,artist,orangestar,,https://en.wikipedia.org/wiki/Orangestar,Wikipedia,manjak,Staging metadata source; exact song source and release date need review before production use
alias_song_ja_0009_006,song_ja_0009,IA,und,artist,ia,,https://en.wikipedia.org/wiki/Orangestar,Wikipedia,manjak,Staging metadata source; exact song source and release date need review before production use
alias_song_ja_0010_001,song_ja_0010,히로인,ko,display_title,히로인,ㅎㄹㅇ,,user_input,manjak,Staging metadata source; review before production use
alias_song_ja_0010_002,song_ja_0010,ヒロイン,ja,canonical_title,ヒロイン,,https://zh.wikipedia.org/wiki/Back_number,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0010_003,song_ja_0010,Heroine,en,english_title,heroine,,https://zh.wikipedia.org/wiki/Back_number,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0010_004,song_ja_0010,백 넘버,ko,artist,백넘버,ㅂㄴㅂ,,user_input,manjak,Staging metadata source; review before production use
alias_song_ja_0010_005,song_ja_0010,back number,und,artist,backnumber,,https://zh.wikipedia.org/wiki/Back_number,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0010_006,song_ja_0010,JR SKISKI,und,content,jrskiski,,https://zh.wikipedia.org/wiki/Back_number,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0011_001,song_ja_0011,수평선,ko,display_title,수평선,ㅅㅍㅅ,,user_input,manjak,Staging metadata source; exact tie-in/source detail needs review before production use
alias_song_ja_0011_002,song_ja_0011,水平線,ja,canonical_title,水平線,,https://zh.wikipedia.org/wiki/Back_number,Wikipedia,manjak,Staging metadata source; exact tie-in/source detail needs review before production use
alias_song_ja_0011_003,song_ja_0011,Suiheisen,ro,romanized_title,suiheisen,,https://zh.wikipedia.org/wiki/Back_number,Wikipedia,manjak,Staging metadata source; exact tie-in/source detail needs review before production use
alias_song_ja_0011_004,song_ja_0011,Horizon,en,english_title,horizon,,https://zh.wikipedia.org/wiki/Back_number,Wikipedia,manjak,Staging metadata source; exact tie-in/source detail needs review before production use
